ID,Expression,Answer
4682,181+80,261
4683,973+298,1271
4684,168+130,298
4685,326+848,1174
4686,688+287,975
4687,472+601,1073
4688,435+256,691
4689,5+38,43
4690,255+522,777
4691,375+759,1134
4692,658+843,1501
4693,846+300,1146
4694,99+74,173
4695,159+263,422
4696,240+482,722
4697,275+896,1171
4698,663+828,1491
4699,217+184,401
4700,885+548,1433
4701,828+559,1387
4702,364+384,748
4703,251+580,831
4704,568+931,1499
4705,542+107,649
4706,713+939,1652
4707,214+537,751
4708,371+724,1095
4709,955+351,1306
4710,152+49,201
4711,550+203,753
4712,961+185,1146
4713,632+486,1118
4714,113+484,597
4715,315+616,931
4716,684+542,1226
4717,921+898,1819
4718,361+824,1185
4719,202+834,1036
4720,467+634,1101
4721,585+968,1553
4722,551+992,1543
4723,806+2,808
4724,258+501,759
4725,836+178,1014
4726,840+923,1763
4727,863+253,1116
4728,426+832,1258
4729,649+395,1044
4730,572+70,642
4731,739+440,1179
4732,333+667,1000
4733,363+625,988
4734,471+504,975
4735,652+168,820
4736,975+989,1964
4737,798+675,1473
4738,436+678,1114
4739,468+161,629
4740,543+871,1414
4741,176+227,403
4742,15+517,532
4743,805+61,866
4744,374+629,1003
4745,521+673,1194
4746,853+889,1742
4747,115+704,819
4748,670+835,1505
4749,395+323,718
4750,889+937,1826
4751,977+196,1173
4752,223+22,245
4753,448+735,1183
4754,548+803,1351
4755,382+849,1231
4756,337+194,531
4757,460+903,1363
4758,916+636,1552
4759,904+70,974
4760,150+944,1094
4761,208+349,557
4762,848+187,1035
4763,774+391,1165
4764,140+736,876
4765,336+573,909
4766,88+820,908
4767,966+575,1541
4768,633+877,1510
4769,919+236,1155
4770,736+438,1174
4771,29+525,554
4772,145+113,258
4773,474+699,1173
4774,379+669,1048
4775,912+300,1212
4776,608+474,1082
4777,884+965,1849
4778,726+684,1410
4779,809+628,1437
4780,462+402,864
4781,973+506,1479
4782,709+924,1633
4783,663+656,1319
4784,900+807,1707
4785,689+662,1351
4786,277+69,346
4787,845+169,1014
4788,458+56,514
4789,301+218,519
4790,773+57,830
4791,379+801,1180
4792,183+947,1130
4793,369+230,599
4794,323+117,440
4795,536+427,963
4796,106+490,596
4797,818+785,1603
4798,370+400,770
4799,208+841,1049
4800,966+959,1925
4801,456+381,837
4802,701+949,1650
4803,793+402,1195
4804,846+759,1605
4805,251+704,955
4806,964+274,1238
4807,995+40,1035
4808,764+290,1054
4809,51+112,163
4810,485+587,1072
4811,797+18,815
4812,125+700,825
4813,304+562,866
4814,177+464,641
4815,660+972,1632
4816,443+817,1260
4817,847+12,859
4818,851+54,905
4819,628+619,1247
4820,857+732,1589
4821,964+675,1639
4822,132+121,253
4823,834+723,1557
4824,669+833,1502
4825,371+632,1003
4826,267+767,1034
4827,278+408,686
4828,993+181,1174
4829,363+775,1138
4830,658+100,758
4831,930+126,1056
4832,853+776,1629
4833,773+21,794
4834,609+170,779
4835,624+646,1270
4836,869+519,1388
4837,781+717,1498
4838,660+310,970
4839,866+812,1678
4840,981+710,1691
4841,587+541,1128
4842,622+182,804
4843,983+351,1334
4844,758+201,959
4845,183+614,797
4846,418+821,1239
4847,360+251,611
4848,444+924,1368
4849,59+594,653
4850,579+814,1393
4851,72+646,718
4852,149+274,423
4853,643+928,1571
4854,568+918,1486
4855,350+415,765
4856,927+758,1685
4857,472+799,1271
4858,705+582,1287
4859,503+505,1008
4860,863+403,1266
4861,418+552,970
4862,942+307,1249
4863,598+218,816
4864,504+589,1093
4865,605+44,649
4866,119+509,628
4867,662+837,1499
4868,342+30,372
4869,605+835,1440
4870,379+961,1340
4871,138+96,234
4872,361+73,434
4873,202+31,233
4874,432+582,1014
4875,207+405,612
4876,974+673,1647
4877,87+184,271
4878,472+699,1171
4879,270+424,694
4880,476+949,1425
4881,814+690,1504
4882,743+585,1328
4883,993+532,1525
4884,807+415,1222
4885,15+110,125
4886,600+803,1403
4887,155+648,803
4888,154+205,359
4889,214+39,253
4890,132+106,238
4891,589+15,604
4892,832+965,1797
4893,563+588,1151
4894,205+416,621
4895,513+373,886
4896,696+820,1516
4897,167+465,632
4898,175+930,1105
4899,339+653,992
4900,502+214,716
4901,782+883,1665
4902,607+739,1346
4903,542+208,750
4904,501+612,1113
4905,912+526,1438
4906,25+171,196
4907,479+510,989
4908,510+889,1399
4909,589+818,1407
4910,184+881,1065
4911,150+977,1127
4912,581+997,1578
4913,643+758,1401
4914,920+981,1901
4915,282+140,422
4916,405+450,855
4917,228+128,356
4918,380+444,824
4919,122+50,172
4920,623+20,643
4921,960+503,1463
4922,206+414,620
4923,795+779,1574
4924,758+199,957
4925,279+132,411
4926,683+127,810
4927,416+658,1074
4928,502+179,681
4929,326+279,605
4930,317+683,1000
4931,457+487,944
4932,553+271,824
4933,185+514,699
4934,332+150,482
4935,187+319,506
4936,926+813,1739
4937,119+883,1002
4938,772+949,1721
4939,335+372,707
4940,481+268,749
4941,785+36,821
4942,446+622,1068
4943,164+332,496
4944,318+44,362
4945,841+537,1378
4946,108+172,280
4947,456+159,615
4948,490+49,539
4949,180+909,1089
4950,828+546,1374
4951,191+127,318
4952,64+148,212
4953,162+937,1099
4954,767+76,843
4955,401+617,1018
4956,664+30,694
4957,94+382,476
4958,345+942,1287
4959,743+367,1110
4960,712+445,1157
4961,894+71,965
4962,777+72,849
4963,596+574,1170
4964,658+954,1612
4965,35+867,902
4966,569+650,1219
4967,550+978,1528
4968,567+432,999
4969,569+957,1526
4970,198+524,722
4971,977+64,1041
4972,222+465,687
4973,499+966,1465
4974,396+417,813
4975,464+985,1449
4976,182+389,571
4977,149+162,311
4978,222+255,477
4979,594+240,834
4980,923+582,1505
4981,892+160,1052
4982,689+359,1048
4983,123+970,1093
4984,909+116,1025
4985,809+652,1461
4986,938+227,1165
4987,639+405,1044
4988,152+78,230
4989,378+754,1132
4990,545+849,1394
4991,177+758,935
4992,383+329,712
4993,304+541,845
4994,929+314,1243
4995,576+979,1555
4996,52+427,479
4997,673+818,1491
4998,966+90,1056
4999,944+947,1891
5000,680+885,1565
5001,494+690,1184
5002,741+482,1223
5003,53+679,732
5004,318+835,1153
5005,683+134,817
5006,95+675,770
5007,375+553,928
5008,474+634,1108
5009,969+261,1230
5010,793+914,1707
5011,542+509,1051
5012,541+574,1115
5013,3+599,602
5014,162+206,368
5015,872+156,1028
5016,897+628,1525
5017,865+200,1065
5018,743+149,892
5019,375+567,942
5020,490+966,1456
5021,776+877,1653
5022,239+505,744
5023,251+713,964
5024,524+225,749
5025,666+230,896
5026,740+569,1309
5027,213+871,1084
5028,753+947,1700
5029,414+871,1285
5030,374+220,594
5031,315+917,1232
5032,744+209,953
5033,173+616,789
5034,458+787,1245
5035,111+280,391
5036,783+709,1492
5037,619+517,1136
5038,174+654,828
5039,282+745,1027
5040,147+404,551
5041,359+624,983
5042,818+630,1448
5043,349+168,517
5044,854+346,1200
5045,510+83,593
5046,459+757,1216
5047,611+573,1184
5048,693+380,1073
5049,635+31,666
5050,987+554,1541
5051,469+542,1011
5052,584+459,1043
5053,765+828,1593
5054,270+14,284
5055,509+922,1431
5056,992+973,1965
5057,733+150,883
5058,926+870,1796
5059,19+615,634
5060,816+910,1726
5061,971+747,1718
5062,544+664,1208
5063,48+782,830
5064,555+282,837
5065,443+498,941
5066,812+489,1301
5067,809+159,968
5068,924+229,1153
5069,668+17,685
5070,221+883,1104
5071,925+47,972
5072,850+94,944
5073,316+698,1014
5074,465+865,1330
5075,420+697,1117
5076,428+712,1140
5077,869+374,1243
5078,442+783,1225
5079,157+773,930
5080,504+360,864
5081,796+922,1718
5082,72+457,529
5083,956+672,1628
5084,679+401,1080
5085,519+574,1093
5086,665+87,752
5087,683+421,1104
5088,209+763,972
5089,489+839,1328
5090,74+341,415
5091,162+55,217
5092,542+169,711
5093,379+283,662
5094,477+495,972
5095,306+263,569
5096,83+371,454
5097,752+18,770
5098,243+414,657
5099,862+696,1558
5100,429+449,878
5101,221+194,415
5102,593+930,1523
5103,594+185,779
5104,783+868,1651
5105,922+191,1113
5106,702+151,853
5107,734+488,1222
5108,916+660,1576
5109,854+453,1307
5110,991+508,1499
5111,572+623,1195
5112,384+483,867
5113,759+956,1715
5114,116+152,268
5115,527+391,918
5116,18+128,146
5117,170+198,368
5118,339+620,959
5119,918+866,1784
5120,421+355,776
5121,324+854,1178
5122,65+380,445
5123,346+709,1055
5124,539+111,650
5125,290+552,842
5126,776+39,815
5127,369+143,512
5128,945+305,1250
5129,13+49,62
5130,156+872,1028
5131,753+821,1574
5132,633+931,1564
5133,592+225,817
5134,94+446,540
5135,402+809,1211
5136,723+276,999
5137,603+647,1250
5138,515+345,860
5139,453+377,830
5140,28+675,703
5141,785+939,1724
5142,963+810,1773
5143,890+348,1238
5144,342+70,412
5145,513+969,1482
5146,851+340,1191
5147,157+719,876
5148,154+58,212
5149,206+12,218
5150,793+641,1434
5151,460+864,1324
5152,441+433,874
5153,752+637,1389
5154,549+703,1252
5155,178+849,1027
5156,589+91,680
5157,54+534,588
5158,840+442,1282
5159,772+340,1112
5160,340+371,711
5161,33+416,449
5162,911+172,1083
5163,859+863,1722
5164,145+289,434
5165,20+400,420
5166,503+585,1088
5167,130+686,816
5168,575+491,1066
5169,660+443,1103
5170,172+367,539
5171,715+504,1219
5172,540+234,774
5173,768+21,789
5174,40+915,955
5175,551+189,740
5176,558+401,959
5177,740+539,1279
5178,279+336,615
5179,960+428,1388
5180,244+392,636
5181,826+453,1279
5182,215+768,983
5183,582+524,1106
5184,523+869,1392
5185,207+674,881
5186,738+516,1254
5187,719+333,1052
5188,369+78,447
5189,317+313,630
5190,548+622,1170
5191,900+494,1394
5192,363+132,495
5193,276+571,847
5194,145+293,438
5195,536+269,805
5196,261+309,570
5197,296+687,983
5198,693+664,1357
5199,66+85,151
5200,638+208,846
5201,689+599,1288
5202,993+87,1080
5203,999+762,1761
5204,482+742,1224
5205,67+180,247
5206,466+986,1452
5207,421+809,1230
5208,568+117,685
5209,742+891,1633
5210,916+290,1206
5211,804+474,1278
5212,646+140,786
5213,512+447,959
5214,500+819,1319
5215,200+566,766
5216,719+75,794
5217,649+320,969
5218,306+544,850
5219,36+446,482
5220,342+483,825
5221,872+993,1865
5222,553+494,1047
5223,147+981,1128
5224,779+59,838
5225,604+886,1490
5226,393+416,809
5227,212+859,1071
5228,744+919,1663
5229,145+541,686
5230,913+103,1016
5231,93+367,460
5232,454+72,526
5233,502+818,1320
5234,335+979,1314
5235,212+679,891
5236,309+382,691
5237,923+743,1666
5238,943+996,1939
5239,413+472,885
5240,111+96,207
5241,735+592,1327
5242,688+856,1544
5243,45+692,737
5244,290+793,1083
5245,307+471,778
5246,91+774,865
5247,827+620,1447
5248,281+176,457
5249,164+832,996
5250,979+345,1324
5251,339+674,1013
5252,770+429,1199
5253,806+920,1726
5254,871+375,1246
5255,721+147,868
5256,383+382,765
5257,887+182,1069
5258,986+869,1855
5259,222+427,649
5260,270+501,771
5261,567+820,1387
5262,38+892,930
5263,888+675,1563
5264,873+580,1453
5265,820+645,1465
5266,278+819,1097
5267,711+347,1058
5268,847+842,1689
5269,850+991,1841
5270,412+389,801
5271,109+797,906
5272,144+823,967
5273,818+469,1287
5274,408+794,1202
5275,944+55,999
5276,827+100,927
5277,120+37,157
5278,584+859,1443
5279,100+396,496
5280,536+734,1270
5281,888+296,1184
5282,998+856,1854
5283,866+307,1173
5284,778+689,1467
5285,573+907,1480
5286,517+417,934
5287,386+847,1233
5288,598+698,1296
5289,550+105,655
5290,880+412,1292
5291,64+801,865
5292,525+952,1477
5293,898+242,1140
5294,580+268,848
5295,242+2,244
5296,490+692,1182
5297,924+572,1496
5298,893+734,1627
5299,564+28,592
5300,126+664,790
5301,180+700,880
5302,51+919,970
5303,743+42,785
5304,335+622,957
5305,132+948,1080
5306,416+622,1038
5307,490+235,725
5308,291+409,700
5309,369+746,1115
5310,864+874,1738
5311,155+516,671
5312,936+618,1554
5313,573+966,1539
5314,215+654,869
5315,762+460,1222
5316,40+105,145
5317,485+760,1245
5318,653+906,1559
5319,605+409,1014
5320,992+324,1316
5321,754+126,880
5322,459+433,892
5323,286+976,1262
5324,896+596,1492
5325,564+443,1007
5326,706+4,710
5327,982+500,1482
5328,815+299,1114
5329,252+217,469
5330,652+342,994
5331,188+793,981
5332,834+597,1431
5333,810+314,1124
5334,65+836,901
5335,103+551,654
5336,174+657,831
5337,703+390,1093
5338,599+825,1424
5339,358+516,874
5340,631+406,1037
5341,627+339,966
5342,249+671,920
5343,427+914,1341
5344,66+962,1028
5345,601+297,898
5346,11+603,614
5347,191+213,404
5348,822+889,1711
5349,355+937,1292
5350,141+611,752
5351,28+839,867
5352,148+80,228
5353,324+681,1005
5354,620+762,1382
5355,230+903,1133
5356,257+849,1106
5357,735+625,1360
5358,275+156,431
5359,126+835,961
5360,223+233,456
5361,250+653,903
5362,766+58,824
5363,250+288,538
5364,737+508,1245
5365,781+813,1594
5366,184+20,204
5367,4+143,147
5368,421+778,1199
5369,362+115,477
5370,652+157,809
5371,230+784,1014
5372,44+218,262
5373,624+564,1188
5374,165+334,499
5375,387+81,468
5376,248+874,1122
5377,8+308,316
5378,633+424,1057
5379,424+773,1197
5380,501+825,1326
5381,436+133,569
5382,833+302,1135
5383,81+807,888
5384,898+646,1544
5385,765+204,969
5386,670+881,1551
5387,205+540,745
5388,968+648,1616
5389,116+575,691
5390,259+152,411
5391,918+99,1017
5392,424+439,863
5393,428+269,697
5394,372+905,1277
5395,519+831,1350
5396,389+973,1362
5397,356+241,597
5398,46+382,428
5399,348+721,1069
5400,535+351,886
5401,139+601,740
5402,801+917,1718
5403,748+916,1664
5404,650+262,912
5405,733+69,802
5406,51+685,736
5407,928+704,1632
5408,774+197,971
5409,72+420,492
5410,456+452,908
5411,561+642,1203
5412,84+883,967
5413,988+880,1868
5414,531+113,644
5415,679+734,1413
5416,999+511,1510
5417,37+728,765
5418,134+105,239
5419,67+242,309
5420,606+320,926
5421,57+294,351
5422,895+663,1558
5423,541+613,1154
5424,22+445,467
5425,248+215,463
5426,906+955,1861
5427,802+360,1162
5428,454+856,1310
5429,903+155,1058
5430,375+574,949
5431,161+226,387
5432,743+776,1519
5433,645+691,1336
5434,629+18,647
5435,618+977,1595
5436,325+560,885
5437,481+943,1424
5438,920+902,1822
5439,157+747,904
5440,632+772,1404
5441,31+794,825
5442,986+155,1141
5443,809+329,1138
5444,108+738,846
5445,822+603,1425
5446,702+23,725
5447,253+968,1221
5448,793+999,1792
5449,626+124,750
5450,69+460,529
5451,52+137,189
5452,858+414,1272
5453,760+721,1481
5454,137+166,303
5455,945+924,1869
5456,828+130,958
5457,872+758,1630
5458,207+845,1052
5459,225+504,729
5460,38+824,862
5461,391+896,1287
5462,131+333,464
5463,36+700,736
5464,992+582,1574
5465,389+242,631
5466,387+197,584
5467,560+963,1523
5468,100+70,170
5469,627+422,1049
5470,917+800,1717
5471,80+833,913
5472,552+554,1106
5473,668+894,1562
5474,184+527,711
5475,326+299,625
5476,208+913,1121
5477,883+538,1421
5478,504+289,793
5479,347+608,955
5480,579+112,691
5481,981+386,1367
5482,235+173,408
5483,652+511,1163
5484,778+370,1148
5485,42+319,361
5486,199+27,226
5487,158+206,364
5488,329+273,602
5489,101+506,607
5490,679+728,1407
5491,940+944,1884
5492,11+519,530
5493,930+352,1282
5494,637+332,969
5495,35+4,39
5496,475+668,1143
5497,31+486,517
5498,181+53,234
5499,741+544,1285
5500,375+990,1365
5501,40+129,169
5502,867+510,1377
5503,578+633,1211
5504,109+169,278
5505,461+21,482
5506,473+231,704
5507,675+329,1004
5508,113+89,202
5509,50+347,397
5510,463+283,746
5511,990+18,1008
5512,574+124,698
5513,857+459,1316
5514,522+889,1411
5515,700+307,1007
5516,890+944,1834
5517,547+825,1372
5518,126+783,909
5519,340+745,1085
5520,111+884,995
5521,638+4,642
5522,700+385,1085
5523,443+853,1296
5524,427+986,1413
5525,743+780,1523
5526,552+451,1003
5527,484+224,708
5528,842+223,1065
5529,405+24,429
5530,374+507,881
5531,434+130,564
5532,385+762,1147
5533,688+907,1595
5534,776+993,1769
5535,710+647,1357
5536,690+141,831
5537,902+768,1670
5538,352+814,1166
5539,137+286,423
5540,324+330,654
5541,783+719,1502
5542,235+762,997
5543,297+185,482
5544,128+108,236
5545,650+691,1341
5546,28+295,323
5547,284+810,1094
5548,889+43,932
5549,14+276,290
5550,51+723,774
5551,233+46,279
5552,886+163,1049
5553,811+429,1240
5554,355+161,516
5555,630+475,1105
5556,359+548,907
5557,715+41,756
5558,550+207,757
5559,128+380,508
5560,141+144,285
5561,156+91,247
5562,126+568,694
5563,824+651,1475
5564,694+83,777
5565,334+726,1060
5566,710+81,791
5567,65+86,151
5568,768+645,1413
5569,235+994,1229
5570,604+680,1284
5571,2+111,113
5572,645+457,1102
5573,922+252,1174
5574,875+279,1154
5575,754+695,1449
5576,40+489,529
5577,210+692,902
5578,164+545,709
5579,729+205,934
5580,532+661,1193
5581,33+868,901
5582,465+104,569
5583,522+771,1293
5584,637+796,1433
5585,823+684,1507
5586,49+640,689
5587,330+514,844
5588,777+611,1388
5589,151+345,496
5590,282+982,1264
5591,716+754,1470
5592,480+513,993
5593,542+782,1324
5594,268+56,324
5595,126+986,1112
5596,68+143,211
5597,703+659,1362
5598,420+139,559
5599,140+328,468
5600,242+560,802
5601,42+153,195
5602,961+563,1524
5603,412+310,722
5604,274+971,1245
5605,913+76,989
5606,556+877,1433
5607,681+365,1046
5608,799+41,840
5609,37+843,880
5610,131+102,233
5611,660+23,683
5612,376+583,959
5613,810+734,1544
5614,102+839,941
5615,680+298,978
5616,999+430,1429
5617,242+615,857
5618,27+365,392
5619,619+939,1558
5620,393+576,969
5621,591+310,901
5622,84+670,754
5623,810+721,1531
5624,553+977,1530
5625,242+383,625
5626,399+856,1255
5627,248+591,839
5628,963+504,1467
5629,335+587,922
5630,478+930,1408
5631,448+757,1205
5632,114+923,1037
5633,717+663,1380
5634,126+915,1041
5635,425+107,532
5636,854+83,937
5637,678+467,1145
5638,263+242,505
5639,893+337,1230
5640,972+401,1373
5641,643+206,849
5642,922+855,1777
5643,193+531,724
5644,508+398,906
5645,503+494,997
5646,504+7,511
5647,604+210,814
5648,342+942,1284
5649,512+231,743
5650,705+31,736
5651,429+667,1096
5652,631+823,1454
5653,504+426,930
5654,792+699,1491
5655,813+736,1549
5656,998+276,1274
5657,689+708,1397
5658,504+49,553
5659,909+825,1734
5660,705+664,1369
5661,18+195,213
5662,158+333,491
5663,36+30,66
5664,794+14,808
5665,978+427,1405
5666,891+892,1783
5667,225+420,645
5668,273+495,768
5669,942+645,1587
5670,532+584,1116
5671,227+98,325
5672,146+591,737
5673,577+291,868
5674,440+34,474
5675,103+29,132
5676,449+378,827
5677,998+835,1833
5678,354+27,381
5679,187+978,1165
5680,769+314,1083
5681,301+228,529
5682,434+519,953
5683,550+77,627
5684,168+137,305
5685,666+728,1394
5686,44+597,641
5687,48+400,448
5688,82+590,672
5689,965+311,1276
5690,174+604,778
5691,570+577,1147
5692,442+660,1102
5693,932+52,984
5694,317+701,1018
5695,759+511,1270
5696,893+926,1819
5697,764+843,1607
5698,894+491,1385
5699,292+634,926
5700,205+467,672
5701,119+606,725
5702,645+304,949
5703,870+502,1372
5704,98+30,128
5705,364+558,922
5706,906+472,1378
5707,633+236,869
5708,16+828,844
5709,878+821,1699
5710,258+485,743
5711,421+977,1398
5712,739+463,1202
5713,273+486,759
5714,22+699,721
5715,340+660,1000
5716,319+309,628
5717,546+940,1486
5718,54+904,958
5719,734+64,798
5720,28+154,182
5721,571+690,1261
5722,622+494,1116
5723,314+138,452
5724,482+391,873
5725,530+401,931
5726,415+578,993
5727,109+776,885
5728,600+359,959
5729,161+667,828
5730,358+664,1022
5731,178+536,714
5732,905+594,1499
5733,622+161,783
5734,229+476,705
5735,590+432,1022
5736,969+565,1534
5737,10+530,540
5738,114+3,117
5739,433+513,946
5740,782+486,1268
5741,1+255,256
5742,907+433,1340
5743,187+91,278
5744,697+872,1569
5745,759+877,1636
5746,344+919,1263
5747,181+787,968
5748,780+868,1648
5749,322+632,954
5750,149+740,889
5751,100+461,561
5752,921+639,1560
5753,990+64,1054
5754,797+571,1368
5755,439+337,776
5756,354+77,431
5757,995+442,1437
5758,6+791,797
5759,753+840,1593
5760,801+122,923
5761,76+68,144
5762,545+388,933
5763,788+387,1175
5764,706+853,1559
5765,582+587,1169
5766,313+789,1102
5767,795+161,956
5768,166+53,219
5769,677+952,1629
5770,148+22,170
5771,384+693,1077
5772,938+411,1349
5773,72+423,495
5774,593+957,1550
5775,151+674,825
5776,360+810,1170
5777,113+305,418
5778,911+16,927
5779,993+318,1311
5780,545+815,1360
5781,637+249,886
5782,209+217,426
5783,503+351,854
5784,922+420,1342
5785,631+799,1430
5786,290+152,442
5787,890+450,1340
5788,259+644,903
5789,735+251,986
5790,724+417,1141
5791,128+134,262
5792,632+250,882
5793,569+568,1137
5794,370+374,744
5795,381+440,821
5796,86+887,973
5797,849+96,945
5798,975+626,1601
5799,258+521,779
5800,412+160,572
5801,294+384,678
5802,387+163,550
5803,960+242,1202
5804,296+590,886
5805,9+771,780
5806,218+720,938
5807,754+402,1156
5808,913+801,1714
5809,215+696,911
5810,403+160,563
5811,997+527,1524
5812,6+476,482
5813,471+580,1051
5814,838+228,1066
5815,618+338,956
5816,701+327,1028
5817,587+975,1562
5818,328+3,331
5819,973+638,1611
5820,560+591,1151
5821,937+324,1261
5822,700+490,1190
5823,999+886,1885
5824,673+290,963
5825,879+480,1359
5826,465+136,601
5827,280+736,1016
5828,84+78,162
5829,968+157,1125
5830,819+357,1176
5831,948+489,1437
5832,570+606,1176
5833,518+4,522
5834,589+831,1420
5835,971+718,1689
5836,94+361,455
5837,194+476,670
5838,700+306,1006
5839,349+979,1328
5840,122+430,552
5841,935+55,990
5842,732+755,1487
5843,431+307,738
5844,863+399,1262
5845,370+924,1294
5846,864+57,921
5847,460+477,937
5848,189+880,1069
5849,513+544,1057
5850,92+354,446
5851,663+608,1271
5852,967+814,1781
5853,12+242,254
5854,591+990,1581
5855,330+805,1135
5856,84+36,120
5857,745+439,1184
5858,709+487,1196
5859,895+316,1211
5860,323+986,1309
5861,682+660,1342
5862,666+880,1546
5863,51+125,176
5864,894+541,1435
5865,637+479,1116
5866,427+726,1153
5867,469+397,866
5868,398+895,1293
5869,653+871,1524
5870,507+138,645
5871,24+341,365
5872,582+269,851
5873,805+361,1166
5874,435+764,1199
5875,733+185,918
5876,686+59,745
5877,236+547,783
5878,363+785,1148
5879,594+102,696
5880,676+835,1511
5881,659+161,820
5882,747+65,812
5883,301+568,869
5884,463+744,1207
5885,458+2,460
5886,533+315,848
5887,118+133,251
5888,352+543,895
5889,70+775,845
5890,82+570,652
5891,516+261,777
5892,995+247,1242
5893,802+655,1457
5894,365+835,1200
5895,996+559,1555
5896,274+648,922
5897,349+445,794
5898,639+631,1270
5899,707+967,1674
5900,363+806,1169
5901,645+9,654
5902,600+534,1134
5903,941+511,1452
5904,444+86,530
5905,527+824,1351
5906,864+430,1294
5907,332+699,1031
5908,788+260,1048
5909,475+947,1422
5910,194+335,529
5911,786+672,1458
5912,892+358,1250
5913,466+114,580
5914,90+26,116
5915,151+880,1031
5916,862+580,1442
5917,540+591,1131
5918,998+141,1139
5919,778+311,1089
5920,323+727,1050
5921,574+386,960
5922,505+484,989
5923,280+216,496
5924,731+67,798
5925,112+517,629
5926,127+801,928
5927,188+38,226
5928,157+144,301
5929,955+890,1845
5930,477+776,1253
5931,993+783,1776
5932,951+894,1845
5933,322+809,1131
5934,855+308,1163
5935,176+582,758
5936,288+977,1265
5937,382+297,679
5938,797+577,1374
5939,53+767,820
5940,909+620,1529
5941,163+581,744
5942,688+411,1099
5943,38+602,640
5944,679+216,895
5945,347+230,577
5946,588+103,691
5947,824+656,1480
5948,661+373,1034
5949,972+890,1862
5950,621+112,733
5951,311+24,335
5952,773+252,1025
5953,434+351,785
5954,521+675,1196
5955,856+265,1121
5956,732+905,1637
5957,426+720,1146
5958,398+985,1383
5959,543+966,1509
5960,30+809,839
5961,590+886,1476
5962,370+337,707
5963,730+403,1133
5964,755+814,1569
5965,160+471,631
5966,618+396,1014
5967,118+88,206
5968,991+313,1304
5969,806+241,1047
5970,366+390,756
5971,987+702,1689
5972,907+775,1682
5973,762+464,1226
5974,328+180,508
5975,592+131,723
5976,654+170,824
5977,605+111,716
5978,660+858,1518
5979,921+294,1215
5980,539+504,1043
5981,373+114,487
5982,831+869,1700
5983,869+26,895
5984,366+133,499
5985,992+332,1324
5986,600+811,1411
5987,907+314,1221
5988,185+286,471
5989,542+89,631
5990,345+362,707
5991,407+693,1100
5992,393+822,1215
5993,813+785,1598
5994,997+754,1751
5995,203+32,235
5996,976+706,1682
5997,75+423,498
5998,916+242,1158
5999,341+909,1250
6000,312+650,962
6001,993+827,1820
6002,537+67,604
6003,994+153,1147
6004,184+914,1098
6005,810+925,1735
6006,687+366,1053
6007,975+608,1583
6008,844+60,904
6009,3+580,583
6010,724+126,850
6011,684+487,1171
6012,202+36,238
6013,949+763,1712
6014,400+387,787
6015,580+930,1510
6016,439+80,519
6017,997+924,1921
6018,163+33,196
6019,913+906,1819
6020,556+649,1205
6021,822+594,1416
6022,598+202,800
6023,545+919,1464
6024,283+53,336
6025,398+840,1238
6026,257+988,1245
6027,718+358,1076
6028,138+669,807
6029,396+860,1256
6030,800+552,1352
6031,674+18,692
6032,578+248,826
6033,45+612,657
6034,468+158,626
6035,683+72,755
6036,699+989,1688
6037,678+1,679
6038,881+27,908
6039,538+88,626
6040,474+704,1178
6041,408+8,416
6042,310+643,953
6043,554+872,1426
6044,59+903,962
6045,568+105,673
6046,857+245,1102
6047,342+173,515
6048,887+584,1471
6049,320+840,1160
6050,421+162,583
6051,687+432,1119
6052,135+379,514
6053,346+578,924
6054,3+637,640
6055,98+573,671
6056,256+519,775
6057,971+599,1570
6058,647+111,758
6059,160+128,288
6060,61+556,617
6061,518+197,715
6062,13+561,574
6063,360+750,1110
6064,594+808,1402
6065,114+128,242
6066,500+81,581
6067,681+43,724
6068,567+478,1045
6069,315+142,457
6070,518+826,1344
6071,966+233,1199
6072,779+447,1226
6073,128+280,408
6074,502+197,699
6075,604+941,1545
6076,853+73,926
6077,203+732,935
6078,83+255,338
6079,820+102,922
6080,677+170,847
6081,182+381,563
6082,369+651,1020
6083,395+687,1082
6084,945+118,1063
6085,461+420,881
6086,631+117,748
6087,253+188,441
6088,159+231,390
6089,172+936,1108
6090,353+279,632
6091,450+192,642
6092,265+983,1248
6093,325+693,1018
6094,903+432,1335
6095,489+956,1445
6096,445+861,1306
6097,65+930,995
6098,885+640,1525
6099,787+254,1041
6100,436+819,1255
6101,599+823,1422
6102,739+652,1391
6103,858+977,1835
6104,220+406,626
6105,537+390,927
6106,525+882,1407
6107,107+348,455
6108,590+969,1559
6109,802+903,1705
6110,189+670,859
6111,769+905,1674
6112,768+148,916
6113,354+686,1040
6114,842+757,1599
6115,622+265,887
6116,702+157,859
6117,73+6,79
6118,48+366,414
6119,843+593,1436
6120,310+630,940
6121,422+201,623
6122,876+728,1604
6123,66+284,350
6124,429+875,1304
6125,21+629,650
6126,841+959,1800
6127,633+410,1043
6128,884+206,1090
6129,296+669,965
6130,550+742,1292
6131,870+652,1522
6132,843+252,1095
6133,802+170,972
6134,334+721,1055
6135,465+83,548
6136,848+356,1204
6137,815+416,1231
6138,174+999,1173
6139,714+314,1028
6140,636+800,1436
6141,145+574,719
6142,718+530,1248
6143,822+537,1359
6144,805+698,1503
6145,687+878,1565
6146,898+593,1491
6147,509+435,944
6148,535+81,616
6149,15+100,115
6150,848+298,1146
6151,143+830,973
6152,341+775,1116
